(1) Saldo de la cartera a la fecha de corte del reporte,(2) Vigente,(3) Vencida 1-2 Meses,(4) Vencida 2-3 Meses,(5) Vencida 1-3 Meses,(6) Vencida 3-4 Meses,(7) Vencida > de 4 Meses,(8) Vencida 3-6 Meses,(9) Vencida +6 meses,(10) Vencida 1-4 meses,(11) Vencida 4-6 meses,(12) Vencida 6-12 meses,(13) Vencida 12-18 meses,(14) Vencida > 12 meses,(15) Vencida > 18 meses,(16) Número de clientes Mora > 30 días,(17) Calificación de Riesgo A / Número de Clientes,(18) Calificación de Riesgo A / Saldo,(19) Calificación de Riesgo B / Número de Clientes,(20) Calificación de Riesgo B / Saldo,(21) Calificación de Riesgo C / Número de Clientes,(22) Calificación de Riesgo C / Saldo,(23) Calificación de Riesgo D / Número de Clientes,(24) Calificación de Riesgo D / Saldo,(25) Calificación de Riesgo E / Número de Clientes,(26) Calificación de Riesgo E / Saldo,año,mes,dia
4043068790691.0,3726192145082.0,40770842980.0,25986153420.0,0.0,17984377108.0,232135272101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79968,782127,3525422721304.0,28711,138163152921.0,15758,69811484888.0,8911,36277877636.0,71686,273393553942.0,2015,1,31
3998528478051.0,3706990190296.0,30510695281.0,28022994527.0,0.0,21222693641.0,211781904306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73283,782869,3497821040227.0,28467,141007898361.0,15484,69884356713.0,9153,38475249180.0,65668,251339933570.0,2015,2,28
4020704026113.0,3720220646242.0,32860729757.0,20821079211.0,0.0,23300728123.0,223500842780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75734,789206,3510435899318.0,28787,142531084381.0,14077,62748203044.0,9383,40863869198.0,69078,264124970172.0,2015,3,31
4041905333450.0,3762454165872.0,28965145640.0,21617988097.0,0.0,16911902073.0,211956131768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70253,796448,3558476573129.0,27541,134805520871.0,13996,62772700850.0,8069,34591951855.0,64891,251258586745.0,2015,4,30
4003636653832.0,3742014387493.0,32179974292.0,21806140720.0,0.0,17788346907.0,189847804420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64720,796969,3546075123044.0,27734,134468193877.0,13881,61262051276.0,8206,35269719104.0,57558,226561566531.0,2015,5,31
3996245358399.0,3722998753910.0,38274612971.0,22829596730.0,0.0,18452059530.0,193690335258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67063,793379,3514131774284.0,30949,150150601560.0,14869,65441409033.0,8778,36355785126.0,58234,230165788396.0,2015,6,30
3980075473776.0,3698483041857.0,37173173132.0,27529508777.0,0.0,19213618527.0,197676131483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69057,794984,3494010779111.0,30552,149249695481.0,15078,66992088130.0,8603,36040019635.0,59514,233782891419.0,2015,7,31
3932100898583.0,3653939670425.0,36229543988.0,27440007770.0,0.0,23686917946.0,190804758454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62068,794016,3453116312131.0,30349,146020454884.0,15194,66838525222.0,9319,39371575938.0,51499,226754030408.0,2015,8,31
3925909594656.0,3641650539167.0,39782096328.0,25392616826.0,0.0,22540227171.0,196544115164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63753,796550,3446944190743.0,30255,145456519937.0,14489,62680544189.0,9425,39234924512.0,53214,231593415275.0,2015,9,30
3920235975058.0,3624143349369.0,37899174569.0,28840469244.0,0.0,21251230232.0,208101751644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67534,797875,3437612175579.0,29661,138699446258.0,14548,63696268999.0,9035,37064136968.0,56665,243163947254.0,2015,10,31
3901115365724.0,3594638587541.0,34603914183.0,27557314825.0,0.0,24368920064.0,219946629111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70657,796000,3406466841156.0,30099,140923797435.0,14248,60731240082.0,9219,38649658465.0,59720,254343828586.0,2015,11,30
3857820671470.0,3561879557187.0,32708264200.0,24740538173.0,0.0,22989008257.0,215503303653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61807,792558,3364723057716.0,31613,147165543739.0,14331,60805116351.0,9308,36998201462.0,51366,248128752202.0,2015,12,31
3812465865345.0,3506343433206.0,36243523644.0,24073177682.0,0.0,21436201746.0,224369529067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66506,785805,3312373824836.0,32414,149599107641.0,14227,59304937233.0,9173,36039477485.0,54857,255148518150.0,2016,1,31
3793239334533.0,3485200986754.0,28314811650.0,25181470955.0,0.0,19754846597.0,234787218577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68073,785159,3292411862958.0,30046,138142816526.0,14845,62474894855.0,9134,35218609012.0,58076,264991151182.0,2016,2,29
3754554585824.0,3438860953769.0,32188400311.0,19643997725.0,0.0,21144285665.0,242716948354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70731,781250,3246084165255.0,30854,142886078221.0,13479,55870485948.0,9465,36933950918.0,61292,272779905482.0,2016,3,31
3759545536163.0,3442214793398.0,35473052278.0,22931900659.0,0.0,16654100447.0,242271689381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67718,666162,3253794763883.0,31509,143786554024.0,13525,56883123267.0,8371,32466636839.0,58334,272614458150.0,2016,4,30
3758042159649.0,3432304188970.0,35688037698.0,22663675409.0,0.0,18838809737.0,248547447835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70318,666058,3244043131377.0,31820,145373021203.0,13506,55494283527.0,8457,33806753723.0,60742,279324969819.0,2016,5,31
3734789444647.0,3405028965587.0,29821473645.0,24820685040.0,0.0,18505018331.0,256613302044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72139,661649,3200497342855.0,33748,153285307239.0,14443,59379789503.0,8651,33554953172.0,63514,288072051878.0,2016,6,30
3733094256500.0,3404399382951.0,31104362522.0,21374374147.0,0.0,21114257032.0,255101879848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69867,662718,3201710610248.0,34633,155073517478.0,896464,55054216088.0,8879,35113544569.0,60710,286142368117.0,2016,7,31
3763116229316.0,3431062792786.0,27889336200.0,20622657043.0,0.0,17725789762.0,265815653525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71662,666987,3232915476684.0,32984,146772681897.0,903066,55616541519.0,8407,32093393114.0,63575,295718136102.0,2016,8,31
